epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.975,1.5824,4.56873,1.27844,0.00326,0.97949,0.00772,0.00456,1.04915,3.82296,0.94719,0.00024,0.00024,0.00024
2,120.28,1.12597,1.96938,0.93624,0.0033,0.98974,0.00834,0.00512,0.95063,3.69881,0.87889,0.00047525,0.00047525,0.00047525
3,179.176,1.05891,1.57349,0.92322,0.00332,0.99487,0.00975,0.00599,1.02485,3.45892,0.92588,0.00068476,0.00068476,0.00068476
4,237.201,1.0323,1.45173,0.94011,0.00328,0.98462,0.12446,0.08939,0.97481,3.27974,0.91902,0.00086853,0.00086853,0.00086853
5,295.774,1.11035,1.37642,0.92795,1,0.16449,0.6318,0.46377,1.00672,3.17146,0.92224,0.00102656,0.00102656,0.00102656
6,355.43,1.08512,1.34389,0.92511,1,0.12281,0.89358,0.63751,0.90176,2.82664,0.93763,0.00115885,0.00115885,0.00115885
7,414.156,1.00473,1.25343,0.91903,1,0.17796,0.97301,0.68296,0.9609,2.63723,0.93438,0.0012654,0.0012654,0.0012654
8,473.019,0.98321,1.14806,0.91576,1,0.96875,0.99137,0.73842,0.9023,1.81404,0.91707,0.001307,0.001307,0.001307
9,531.46,0.96315,1.08916,0.94527,0.99479,0.97915,0.9948,0.75594,0.91086,1.46378,0.92788,0.001208,0.001208,0.001208
10,589.785,0.91644,1.04015,0.907,1,0.97913,0.99285,0.77516,0.82845,1.09076,0.89074,0.001109,0.001109,0.001109
11,648.159,0.91944,1.35856,0.91496,0.99905,0.97436,0.99013,0.77042,0.79926,1.14489,0.89107,0.00101,0.00101,0.00101
12,706.381,0.85675,1.15588,0.92184,0.99778,0.97436,0.98783,0.74969,0.85795,1.07858,0.90188,0.000911,0.000911,0.000911
13,764.748,0.87337,1.10772,0.91871,0.99947,0.97436,0.9948,0.79242,0.77554,0.84127,0.88181,0.000812,0.000812,0.000812
14,823.264,0.85857,1.03383,0.92181,1,0.98875,0.99485,0.78469,0.81409,0.79375,0.89101,0.000713,0.000713,0.000713
15,882.5,0.849,0.99387,0.90196,1,0.9888,0.99495,0.77395,0.83007,0.82104,0.88778,0.000614,0.000614,0.000614
16,940.985,0.83165,1.00911,0.8939,0.99857,1,0.995,0.79598,0.73957,0.74055,0.87032,0.000515,0.000515,0.000515
17,998.22,0.8018,0.9344,0.89728,1,0.99993,0.995,0.79124,0.73496,0.74866,0.87065,0.000416,0.000416,0.000416
18,1055.11,0.79876,0.92788,0.8944,0.99929,1,0.995,0.80583,0.69699,0.70957,0.86248,0.000317,0.000317,0.000317
19,1117.08,0.77092,0.8627,0.87803,0.99958,1,0.995,0.81387,0.68907,0.68487,0.8594,0.000218,0.000218,0.000218
20,1177.41,0.76222,0.85458,0.87722,0.99968,1,0.995,0.81022,0.67559,0.66432,0.85707,0.000119,0.000119,0.000119
